A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	class
1	36.33	3.79	2	9	4	1.165	1	0	0.0	1	2	200.0	1.0	0
1	31.67	16.165	2	2	4	3.0	1	1	9.0	0	2	250.0	731.0	1
1	41.0	0.04	2	10	4	0.04	0	1	1.0	0	1	560.0	1.0	1
0	38.25	6.0	2	4	4	1.0	1	0	0.0	1	2	0.0	1.0	1
1	26.83	0.54	2	4	1	0.0	0	0	0.0	0	2	100.0	1.0	0
1	23.92	0.585	1	13	8	0.125	0	0	0.0	0	2	240.0	2.0	0
0	40.83	3.5	2	3	5	0.5	0	0	0.0	0	1	1160.0	1.0	0
1	21.83	0.25	2	2	8	0.665	1	0	0.0	1	2	0.0	1.0	1
0	46.0	4.0	2	5	3	0.0	1	0	0.0	0	2	100.0	961.0	1
1	65.42	11.0	2	10	9	20.0	1	1	7.0	1	2	22.0	1.0	1
1	29.92	1.835	2	8	8	4.335	1	0	0.0	0	2	260.0	201.0	1
0	35.75	0.915	2	6	4	0.75	1	1	4.0	0	2	0.0	1584.0	1
0	31.25	3.75	2	13	8	0.625	1	1	9.0	1	2	181.0	1.0	1
1	51.83	3.0	1	1	1	1.5	0	0	0.0	0	2	180.0	5.0	0
1	23.08	2.5	2	8	4	1.085	1	1	11.0	1	2	60.0	2185.0	1
1	19.42	6.5	2	9	8	1.46	1	1	7.0	0	2	80.0	2955.0	1
1	21.08	4.125	1	3	8	0.04	0	0	0.0	0	2	140.0	101.0	0
1	23.25	4.0	2	8	5	0.25	1	0	0.0	1	2	160.0	1.0	1
0	41.17	6.5	2	11	4	0.5	1	1	3.0	1	2	145.0	1.0	1
1	24.33	6.625	1	2	4	5.5	1	0	0.0	1	1	100.0	1.0	1
0	64.08	0.165	2	1	1	0.0	1	1	1.0	0	2	232.0	101.0	1
1	33.67	1.25	2	9	4	1.165	0	0	0.0	0	2	120.0	1.0	0
0	20.75	9.54	2	3	4	0.04	0	0	0.0	0	2	200.0	1001.0	0
1	28.75	1.165	2	4	4	0.5	1	0	0.0	0	1	280.0	1.0	0
1	18.42	10.415	1	6	4	0.125	1	0	0.0	0	2	120.0	376.0	0
0	24.5	1.75	1	8	4	0.165	0	0	0.0	0	2	132.0	1.0	0
1	31.08	3.085	2	8	4	2.5	0	1	2.0	1	2	160.0	42.0	0
1	31.25	1.125	2	1	1	0.0	0	1	1.0	0	2	96.0	20.0	0
1	39.92	6.21	2	11	4	0.04	1	1	1.0	0	2	200.0	301.0	1
1	23.25	1.5	2	11	4	2.375	1	1	3.0	1	2	0.0	583.0	1
1	25.5	0.375	2	7	4	0.25	1	1	3.0	0	2	260.0	15109.0	1
0	26.58	2.54	1	1	1	0.0	0	0	0.0	1	2	180.0	61.0	0
1	39.0	5.0	2	13	4	3.5	1	1	10.0	1	2	0.0	1.0	1
1	43.17	5.0	2	3	5	2.25	0	0	0.0	1	2	141.0	1.0	0
1	17.58	10.0	2	9	8	0.165	0	1	1.0	0	2	120.0	2.0	0
1	22.08	2.335	2	4	4	0.75	0	0	0.0	0	2	180.0	1.0	0
0	30.67	12.0	2	8	4	2.0	1	1	1.0	0	2	220.0	20.0	1
1	20.67	1.25	1	8	8	1.375	1	1	3.0	1	2	140.0	211.0	0
0	28.5	1.0	2	11	4	1.0	1	1	2.0	1	2	167.0	501.0	0
1	34.42	4.25	2	3	5	3.25	1	1	2.0	0	2	274.0	611.0	1
0	60.92	5.0	2	6	4	4.0	1	1	4.0	0	2	0.0	100.0	1
1	41.17	4.04	2	13	8	7.0	1	1	8.0	0	2	320.0	1.0	1
1	45.0	8.5	2	13	8	14.0	1	1	1.0	1	2	88.0	2001.0	1
1	29.83	1.25	1	4	4	0.25	0	0	0.0	0	2	224.0	1.0	0
1	26.17	12.5	1	4	8	1.25	0	0	0.0	1	2	0.0	18.0	0
0	16.08	0.335	2	1	1	0.0	0	1	1.0	0	2	160.0	127.0	0
0	25.25	12.5	2	2	4	1.0	0	0	0.0	1	2	180.0	1063.0	0
0	45.83	10.5	2	11	4	5.0	1	1	7.0	1	2	0.0	1.0	1
1	16.33	2.75	2	6	4	0.665	0	1	1.0	0	2	80.0	22.0	0
0	20.33	10.0	2	8	8	1.0	1	1	4.0	0	2	50.0	1466.0	1
1	35.17	4.5	2	14	8	5.75	0	0	0.0	1	1	711.0	1.0	1
1	29.25	13.0	2	2	8	0.5	0	0	0.0	0	2	228.0	1.0	0
1	23.17	0.0	2	8	4	0.0	0	0	0.0	0	3	184.0	1.0	1
0	28.5	3.04	1	14	8	2.54	1	1	1.0	0	2	70.0	1.0	1
0	55.75	7.08	2	4	8	6.75	1	1	3.0	1	2	100.0	51.0	0
1	20.42	7.0	2	8	4	1.625	1	1	3.0	0	2	200.0	1392.0	1
0	29.58	1.75	1	4	4	1.25	0	0	0.0	1	2	280.0	1.0	0
1	41.33	0.0	2	8	5	15.0	1	0	0.0	0	2	0.0	1.0	1
1	21.0	3.0	1	2	4	1.085	1	1	8.0	1	2	160.0	2.0	1
1	42.75	4.085	2	6	4	0.04	0	0	0.0	0	2	108.0	101.0	0
0	20.83	0.5	1	10	2	1.0	0	0	0.0	0	2	260.0	1.0	0
1	34.83	4.0	2	2	5	12.5	1	0	0.0	1	2	184.0	1.0	0
0	40.33	8.125	1	4	4	0.165	0	1	2.0	0	2	184.0	19.0	0
0	18.83	9.5	2	9	4	1.625	1	1	6.0	1	2	40.0	601.0	1
1	21.17	0.0	2	8	4	0.5	0	0	0.0	1	1	0.0	1.0	0
1	34.42	1.335	2	3	5	0.125	0	0	0.0	1	2	440.0	4501.0	0
0	46.67	0.46	2	13	8	0.415	1	1	11.0	1	2	440.0	7.0	1
1	23.5	2.75	2	1	1	4.5	0	0	0.0	0	2	160.0	26.0	0
0	21.75	11.75	2	8	4	0.25	0	0	0.0	1	2	180.0	1.0	0
1	31.57	4.0	1	3	4	0.085	0	0	0.0	1	2	411.0	1.0	0
1	24.58	1.25	2	8	4	0.25	0	0	0.0	0	2	110.0	1.0	0
0	31.75	3.0	1	5	3	0.0	0	0	0.0	0	2	160.0	21.0	0
1	31.25	2.835	2	1	1	0.0	0	1	5.0	0	2	176.0	147.0	0
0	28.75	3.75	2	8	4	1.085	1	1	1.0	1	2	371.0	1.0	1
1	25.67	12.5	2	13	4	1.21	1	1	67.0	1	2	140.0	259.0	1
1	28.75	1.5	1	8	4	1.5	1	0	0.0	1	2	0.0	226.0	0
1	27.67	2.0	2	14	8	1.0	1	1	4.0	0	2	140.0	7545.0	1
0	19.17	8.585	2	13	8	0.75	1	1	7.0	0	2	96.0	1.0	1
1	39.17	1.71	2	14	4	0.125	1	1	5.0	1	2	480.0	1.0	1
1	20.17	9.25	2	8	4	1.665	1	1	3.0	1	2	40.0	29.0	1
1	18.17	10.25	2	8	8	1.085	0	0	0.0	0	2	320.0	14.0	0
1	27.67	0.75	2	11	8	0.165	0	0	0.0	1	2	220.0	252.0	0
1	32.67	9.0	1	9	8	5.25	1	0	0.0	1	2	154.0	1.0	1
0	26.08	8.665	2	6	4	1.415	1	0	0.0	0	2	160.0	151.0	1
1	17.08	0.25	2	11	4	0.335	0	1	4.0	0	2	160.0	9.0	0
0	25.08	2.54	1	6	4	0.25	1	0	0.0	1	2	370.0	1.0	1
1	23.17	11.125	2	14	8	0.46	1	1	1.0	0	2	100.0	1.0	1
0	16.33	0.21	2	6	4	0.125	0	0	0.0	0	2	200.0	2.0	0
1	51.83	2.04	1	1	1	1.5	0	0	0.0	0	2	120.0	2.0	0
0	17.92	10.21	2	1	1	0.0	0	0	0.0	0	2	0.0	51.0	0
1	25.58	0.335	2	4	8	3.5	0	0	0.0	1	2	340.0	1.0	0
0	65.17	14.0	2	1	1	0.0	1	1	11.0	1	2	0.0	1401.0	1
1	23.08	2.5	2	1	1	0.085	0	0	0.0	1	2	100.0	4209.0	0
1	39.5	1.625	2	8	4	1.5	0	0	0.0	0	2	0.0	317.0	0
1	44.25	11.0	1	2	4	1.5	1	0	0.0	0	1	0.0	1.0	0
1	16.0	3.125	2	9	4	0.085	0	1	1.0	0	2	0.0	7.0	0
1	40.58	3.29	2	7	4	3.5	0	0	0.0	1	1	400.0	1.0	0
0	30.0	5.29	2	10	2	2.25	1	1	5.0	1	2	99.0	501.0	1
1	62.5	12.75	1	8	8	5.0	1	0	0.0	0	2	112.0	1.0	0
1	28.0	2.0	2	4	8	4.165	1	1	2.0	1	2	181.0	1.0	1
0	26.17	2.0	2	5	3	0.0	0	0	0.0	1	2	276.0	2.0	0
1	35.75	2.415	2	9	4	0.125	0	1	2.0	0	2	220.0	2.0	0
1	16.5	0.125	2	8	4	0.165	0	0	0.0	0	2	132.0	1.0	0
1	27.75	0.585	1	13	4	0.25	1	1	2.0	0	2	260.0	501.0	1
1	28.25	0.875	2	7	4	0.96	1	1	3.0	1	2	396.0	1.0	1
1	25.33	0.58	2	8	4	0.29	1	1	7.0	1	2	96.0	5125.0	1
1	19.0	0.0	1	1	1	0.0	0	1	4.0	0	2	45.0	2.0	0
0	24.33	2.5	1	3	5	4.5	0	0	0.0	0	2	200.0	457.0	0
1	25.0	12.5	2	6	4	3.0	1	0	0.0	1	1	20.0	1.0	1
1	22.83	3.0	2	7	4	1.29	1	1	1.0	0	2	260.0	801.0	1
0	22.25	1.25	1	1	1	3.25	0	0	0.0	0	2	280.0	1.0	0
0	30.42	1.375	2	9	8	0.04	0	1	3.0	0	2	0.0	34.0	0
1	25.67	0.29	1	8	4	1.5	0	0	0.0	1	2	160.0	1.0	0
0	22.75	6.165	2	6	4	0.165	0	0	0.0	0	2	220.0	1001.0	0
0	33.08	4.625	2	11	8	1.625	1	1	2.0	0	2	0.0	1.0	1
1	33.17	1.04	2	12	8	6.5	1	0	0.0	1	2	164.0	31286.0	1
0	47.42	3.0	2	14	4	13.875	1	1	2.0	1	2	519.0	1705.0	1
0	15.75	0.375	2	8	4	1.0	0	0	0.0	0	2	120.0	19.0	0
1	21.67	1.165	1	4	4	2.5	1	1	1.0	0	2	180.0	21.0	0
1	44.33	0.5	2	3	8	5.0	1	0	0.0	1	2	320.0	1.0	1
1	27.75	1.29	2	4	8	0.25	0	0	0.0	1	1	140.0	1.0	0
1	23.08	11.5	2	9	8	2.125	1	1	11.0	1	2	290.0	285.0	1
0	40.83	10.0	2	11	8	1.75	1	0	0.0	0	2	29.0	838.0	1
1	34.08	2.5	2	8	4	1.0	0	0	0.0	0	2	460.0	17.0	0
0	40.33	7.54	1	11	8	8.0	1	1	14.0	0	2	0.0	2301.0	1
1	27.67	13.75	2	9	4	5.75	1	0	0.0	1	2	487.0	501.0	1
1	43.25	25.21	2	11	8	0.21	1	1	1.0	0	2	760.0	91.0	0
0	41.58	1.04	2	6	4	0.665	0	0	0.0	0	2	240.0	238.0	0
0	24.5	0.5	2	11	8	1.5	1	0	0.0	0	2	280.0	825.0	1
1	26.75	4.5	1	8	5	2.5	0	0	0.0	0	2	200.0	1211.0	0
1	36.42	0.75	1	2	4	0.585	0	0	0.0	0	2	240.0	4.0	0
1	22.0	7.835	1	3	5	0.165	0	0	0.0	1	2	184.0	1.0	0
1	24.58	13.5	1	1	1	0.0	0	0	0.0	0	2	184.0	1.0	0
1	21.08	10.085	1	10	8	1.25	0	0	0.0	0	2	260.0	1.0	0
0	35.17	3.75	2	1	1	0.0	0	1	6.0	0	2	0.0	201.0	0
1	64.08	20.0	2	14	8	17.5	1	1	9.0	1	2	0.0	1001.0	1
0	31.57	11.25	2	1	1	0.0	0	0	0.0	0	2	184.0	5201.0	0
1	30.83	0.0	2	9	4	1.25	1	1	1.0	0	2	202.0	1.0	1
1	39.58	5.0	2	1	1	0.0	0	1	2.0	0	2	17.0	2.0	0
1	27.83	1.0	1	2	8	3.0	0	0	0.0	0	2	176.0	538.0	0
0	30.5	6.5	2	8	5	4.0	1	1	7.0	1	2	0.0	3066.0	1
0	17.67	0.0	1	5	1	0.0	0	0	0.0	0	2	86.0	1.0	0
1	35.0	3.375	2	8	8	8.29	0	0	0.0	1	2	0.0	1.0	0
1	19.0	1.75	1	8	4	2.335	0	0	0.0	1	2	112.0	7.0	0
1	31.57	3.0	1	3	5	7.0	0	0	0.0	0	2	0.0	2.0	0
1	22.25	0.46	2	4	4	0.125	0	0	0.0	1	2	280.0	56.0	0
0	41.33	1.0	2	3	5	2.25	1	0	0.0	1	2	0.0	301.0	1
1	33.58	0.25	2	3	5	4.0	0	0	0.0	1	1	420.0	1.0	0
0	23.58	0.83	2	11	4	0.415	0	1	1.0	1	2	200.0	12.0	0
1	23.42	1.0	2	8	4	0.5	0	0	0.0	1	1	280.0	1.0	0
0	19.5	0.165	2	11	4	0.04	0	0	0.0	1	2	380.0	1.0	0
0	27.33	1.665	2	1	1	0.0	0	0	0.0	0	2	340.0	2.0	0
1	29.42	1.25	2	8	8	0.25	0	1	2.0	1	2	400.0	109.0	0
1	27.25	1.665	2	13	8	5.085	1	1	9.0	0	2	399.0	828.0	1
1	44.83	7.0	1	8	4	1.625	0	0	0.0	0	2	160.0	3.0	0
1	29.58	4.75	2	7	4	2.0	0	1	1.0	1	2	460.0	69.0	0
0	38.58	5.0	2	13	4	13.5	1	0	0.0	1	2	980.0	1.0	0
1	22.17	2.25	2	3	4	0.125	0	0	0.0	0	2	160.0	11.0	0
0	36.75	4.71	2	1	1	0.0	0	0	0.0	0	2	160.0	1.0	0
1	19.17	9.5	2	9	4	1.5	1	0	0.0	0	2	120.0	2207.0	1
0	58.42	21.0	2	3	5	10.0	1	1	13.0	0	2	0.0	6701.0	1
0	31.92	3.125	2	1	1	3.04	0	1	2.0	1	2	200.0	5.0	0
1	20.67	0.835	1	8	4	2.0	0	0	0.0	1	1	240.0	1.0	0
1	22.08	11.0	2	13	4	0.665	1	0	0.0	0	2	100.0	1.0	1
0	45.0	4.585	2	4	8	1.0	0	0	0.0	1	1	240.0	1.0	0
1	54.83	15.5	2	10	9	0.0	1	1	20.0	0	2	152.0	131.0	0
1	57.83	7.04	2	7	4	14.0	1	1	6.0	1	2	360.0	1333.0	1
1	34.92	2.5	2	9	4	0.0	1	0	0.0	1	2	239.0	201.0	1
1	20.0	1.25	1	4	4	0.125	0	0	0.0	0	2	140.0	5.0	0
0	22.67	7.0	2	8	4	0.165	0	0	0.0	0	2	160.0	1.0	0
0	53.33	0.165	2	1	1	0.0	0	0	0.0	1	1	62.0	28.0	0
1	25.42	0.54	2	9	4	0.165	0	1	1.0	0	2	272.0	445.0	0
1	34.17	2.75	2	3	5	2.5	0	0	0.0	1	2	232.0	201.0	0
0	18.83	9.54	2	6	4	0.085	1	0	0.0	0	2	100.0	1.0	1
1	36.17	18.125	2	9	4	0.085	0	0	0.0	0	2	320.0	3553.0	0
1	23.92	0.665	2	8	4	0.165	0	0	0.0	0	2	100.0	1.0	1
1	21.17	0.25	1	8	8	0.25	0	0	0.0	0	2	280.0	205.0	0
0	23.42	0.79	1	11	4	1.5	1	1	2.0	1	2	80.0	401.0	1
1	39.17	2.5	1	3	8	10.0	0	0	0.0	1	1	200.0	1.0	0
0	22.92	1.25	2	11	4	0.25	0	0	0.0	1	2	120.0	810.0	0
1	17.5	22.0	3	1	7	0.0	0	0	0.0	1	3	450.0	100001.0	1
0	24.5	2.415	1	8	4	0.0	0	0	0.0	0	2	120.0	1.0	0
1	56.75	12.25	2	7	4	1.25	1	1	4.0	1	2	200.0	1.0	1
0	16.0	0.165	2	6	4	1.0	0	1	2.0	1	2	320.0	2.0	0
1	48.58	0.205	1	4	4	0.25	1	1	11.0	0	2	380.0	2733.0	1
1	21.5	11.5	2	3	4	0.5	1	0	0.0	1	2	100.0	69.0	0
0	19.67	0.21	2	11	8	0.29	1	1	11.0	0	2	80.0	100.0	1
1	23.0	0.75	2	7	4	0.5	1	0	0.0	1	1	320.0	1.0	0
1	38.25	10.125	1	4	4	0.125	0	0	0.0	0	2	160.0	1.0	0
1	20.08	0.25	2	11	4	0.125	0	0	0.0	0	2	200.0	1.0	0
1	37.5	1.75	1	8	5	0.25	1	0	0.0	1	2	164.0	401.0	0
1	50.75	0.585	2	1	1	0.0	0	0	0.0	0	2	145.0	1.0	0
1	47.83	4.165	2	14	5	0.085	0	0	0.0	1	2	520.0	1.0	0
1	23.58	0.46	1	9	4	2.625	1	1	6.0	1	2	208.0	348.0	0
1	36.25	5.0	2	8	5	2.5	1	1	6.0	0	2	0.0	368.0	1
1	32.08	4.0	1	13	4	1.5	0	0	0.0	1	2	120.0	1.0	0
1	21.92	0.54	1	14	4	0.04	1	1	1.0	1	2	840.0	60.0	1
1	48.17	3.5	2	6	4	3.5	1	0	0.0	0	1	230.0	1.0	1
1	40.92	2.25	1	14	8	10.0	1	0	0.0	1	2	176.0	1.0	0
0	25.33	2.085	2	8	8	2.75	1	0	0.0	1	2	360.0	2.0	0
1	29.5	0.58	2	9	4	0.29	0	1	1.0	0	2	340.0	2804.0	0
1	25.92	0.875	2	4	4	0.375	0	1	2.0	1	2	174.0	4.0	0
1	24.08	9.0	2	6	4	0.25	0	0	0.0	1	2	0.0	1.0	0
0	24.83	4.5	2	9	4	1.0	0	0	0.0	1	2	360.0	7.0	0
1	18.08	6.75	1	7	4	0.04	0	0	0.0	0	2	140.0	1.0	0
1	28.67	14.5	2	2	4	0.125	0	0	0.0	0	2	0.0	287.0	0
0	27.67	2.04	2	9	4	0.25	0	0	0.0	1	2	180.0	51.0	0
1	23.0	0.75	2	7	4	0.5	0	0	0.0	1	1	320.0	1.0	0
1	27.83	1.5	2	9	4	2.25	0	1	1.0	1	2	100.0	4.0	0
1	40.0	6.5	2	6	5	3.5	1	1	1.0	0	2	0.0	501.0	1
1	23.08	11.5	2	3	4	3.5	1	1	9.0	0	2	56.0	743.0	1
1	31.33	19.5	2	8	4	7.0	1	1	16.0	0	2	0.0	5001.0	1
1	39.92	5.0	2	3	5	0.21	0	0	0.0	0	2	550.0	1.0	0
0	27.58	3.0	2	7	4	2.79	0	1	1.0	1	2	280.0	11.0	0
1	42.83	1.25	2	7	4	13.875	0	1	1.0	1	2	352.0	113.0	0
1	21.58	0.79	1	13	4	0.665	0	0	0.0	0	2	160.0	1.0	0
1	33.17	3.165	1	14	4	3.165	1	1	3.0	1	2	380.0	1.0	1
0	33.25	2.5	1	8	4	2.5	0	0	0.0	1	2	0.0	3.0	0
1	17.67	4.46	2	8	4	0.25	0	0	0.0	0	1	80.0	1.0	0
0	20.75	10.25	2	11	4	0.71	1	1	2.0	1	2	49.0	1.0	1
1	29.42	1.25	2	9	4	1.75	0	0	0.0	0	2	200.0	1.0	0
1	34.08	0.08	1	7	5	0.04	1	1	1.0	1	2	280.0	2001.0	1
0	51.92	6.5	2	3	5	3.085	0	0	0.0	1	2	73.0	1.0	0
0	48.17	1.335	2	3	7	0.335	0	0	0.0	0	2	0.0	121.0	0
1	22.08	11.46	2	4	4	1.585	0	0	0.0	1	2	100.0	1213.0	0
0	47.75	8.0	2	8	4	7.875	1	1	6.0	1	2	0.0	1261.0	1
1	34.0	5.5	1	8	4	1.5	0	0	0.0	1	2	60.0	1.0	0
0	28.58	1.665	2	11	4	2.415	1	0	0.0	1	2	440.0	1.0	0
1	24.42	2.0	2	10	2	0.165	0	1	2.0	0	2	320.0	1301.0	0
1	52.5	6.5	2	4	4	6.29	1	1	15.0	0	2	0.0	11203.0	1
1	25.67	2.21	1	6	4	4.0	1	0	0.0	0	2	188.0	1.0	0
0	17.83	11.0	2	14	8	1.0	1	1	11.0	0	2	0.0	3001.0	1
1	20.0	0.0	2	2	4	0.5	0	0	0.0	0	2	144.0	1.0	0
0	22.42	11.25	1	14	8	0.75	1	1	4.0	0	2	0.0	322.0	1
0	28.17	0.375	2	11	4	0.585	1	1	4.0	0	2	80.0	1.0	1
0	22.67	0.335	2	11	4	0.75	0	0	0.0	0	1	160.0	1.0	0
0	24.5	12.75	2	8	5	4.75	1	1	2.0	0	2	73.0	445.0	1
1	48.75	26.335	1	1	1	0.0	1	0	0.0	1	2	0.0	1.0	0
1	48.08	3.75	2	3	5	1.0	0	0	0.0	0	2	100.0	3.0	0
0	20.67	3.0	2	11	4	0.165	1	1	3.0	0	2	100.0	7.0	1
1	27.83	4.0	1	3	8	5.75	1	1	2.0	1	2	75.0	1.0	0
1	53.92	9.625	2	10	4	8.665	1	1	5.0	0	2	0.0	1.0	1
1	37.75	7.0	2	11	8	11.5	1	1	7.0	1	2	300.0	6.0	0
0	23.58	0.585	1	1	1	0.125	0	0	0.0	0	2	120.0	88.0	0
1	16.25	0.0	1	6	4	0.25	0	0	0.0	0	2	60.0	1.0	0
1	16.25	0.835	2	7	4	0.085	1	0	0.0	0	1	200.0	1.0	0
1	23.75	12.0	2	8	4	2.085	0	0	0.0	0	1	80.0	1.0	0
1	80.25	5.5	2	8	4	0.54	1	0	0.0	0	2	0.0	341.0	0
0	21.5	6.0	2	6	4	2.5	1	1	3.0	0	2	80.0	919.0	1
1	48.08	6.04	2	4	4	0.04	0	0	0.0	0	2	0.0	2691.0	1
0	56.83	4.25	1	1	1	5.0	0	0	0.0	1	2	0.0	5.0	0
1	42.08	1.04	2	9	4	5.0	1	1	6.0	1	2	500.0	10001.0	1
0	23.75	0.71	2	9	4	0.25	0	1	1.0	1	2	240.0	5.0	0
0	33.92	1.585	1	1	1	0.0	1	0	0.0	0	2	320.0	1.0	0
1	34.5	4.04	1	3	5	8.5	1	1	7.0	1	2	195.0	1.0	1
1	36.17	5.5	2	3	5	5.0	0	0	0.0	0	2	210.0	688.0	0
1	47.67	0.29	2	8	5	15.0	1	1	20.0	0	2	0.0	15001.0	1
0	18.92	9.25	1	8	4	1.0	1	1	4.0	1	2	80.0	501.0	1
0	23.5	9.0	2	11	4	8.5	1	1	5.0	1	2	120.0	1.0	1
1	38.42	0.705	2	8	4	0.375	0	1	2.0	0	2	225.0	501.0	0
1	51.58	15.0	2	8	4	8.5	1	1	9.0	0	2	0.0	1.0	1
1	19.42	1.5	1	13	4	2.0	1	0	0.0	1	2	100.0	21.0	0
1	38.67	0.21	2	4	4	0.085	1	0	0.0	1	2	280.0	1.0	1
1	19.17	0.0	1	7	5	0.0	0	0	0.0	1	1	500.0	2.0	1
0	20.42	10.5	1	14	8	0.0	0	0	0.0	1	2	154.0	33.0	0
0	32.0	6.0	2	2	4	1.25	0	0	0.0	0	2	272.0	1.0	0
0	50.25	0.835	2	6	4	0.5	0	0	0.0	1	2	240.0	118.0	0
0	42.25	1.75	1	8	4	0.0	0	0	0.0	1	2	150.0	2.0	0
0	17.58	9.0	2	6	4	1.375	1	0	0.0	1	2	0.0	1.0	1
1	18.58	5.71	2	2	4	0.54	0	0	0.0	0	2	120.0	1.0	0
1	22.67	2.54	1	8	8	2.585	1	0	0.0	0	2	0.0	1.0	1
1	31.83	2.5	2	6	4	7.5	1	0	0.0	1	2	523.0	1.0	0
0	23.0	1.835	2	5	3	0.0	0	1	1.0	0	2	200.0	54.0	0
1	23.33	11.625	1	9	4	0.835	1	0	0.0	1	2	160.0	301.0	1
1	30.17	6.5	2	13	4	3.125	1	1	8.0	0	2	330.0	1201.0	1
1	19.33	9.5	2	11	4	1.0	1	0	0.0	1	2	60.0	401.0	1
1	36.5	4.25	2	11	4	3.5	0	0	0.0	0	2	454.0	51.0	0
1	39.33	5.875	2	13	8	10.0	1	1	14.0	1	2	399.0	1.0	1
1	25.17	3.5	2	13	4	0.625	1	1	7.0	0	2	0.0	7060.0	1
1	57.42	8.5	2	10	8	7.0	1	1	3.0	0	2	0.0	1.0	1
1	43.08	0.375	1	8	4	0.375	1	1	8.0	1	2	300.0	163.0	1
0	33.75	0.75	2	4	5	1.0	1	1	3.0	1	2	212.0	1.0	0
1	34.0	5.085	1	3	5	1.085	0	0	0.0	1	2	480.0	1.0	0
1	31.57	0.5	2	8	5	0.835	1	0	0.0	1	1	320.0	1.0	0
0	33.17	2.25	1	13	4	3.5	0	0	0.0	1	2	200.0	142.0	0
1	30.75	1.585	2	2	4	0.585	0	0	0.0	1	1	0.0	1.0	0
1	20.25	9.96	2	10	2	0.0	1	0	0.0	0	2	0.0	1.0	1
0	20.5	11.835	2	8	8	6.0	1	0	0.0	0	2	340.0	1.0	1
1	33.58	0.335	1	13	4	0.085	0	0	0.0	0	2	180.0	1.0	0
1	16.08	0.75	2	8	4	1.75	1	1	5.0	1	2	352.0	691.0	1
1	47.67	2.5	2	7	5	2.5	1	1	12.0	1	2	410.0	2511.0	1
1	42.0	9.79	2	14	8	7.96	1	1	8.0	0	2	0.0	1.0	1
0	37.33	2.5	2	3	8	0.21	0	0	0.0	0	2	260.0	247.0	0
1	33.58	2.75	2	7	4	4.25	1	1	6.0	0	2	204.0	1.0	1
1	36.67	4.415	1	4	4	0.25	1	1	10.0	1	2	320.0	1.0	1
1	21.83	1.54	2	4	4	0.085	0	0	0.0	1	2	356.0	1.0	0
1	28.0	3.0	2	9	4	0.75	0	0	0.0	1	2	300.0	68.0	0
1	20.5	2.415	2	8	4	2.0	1	1	11.0	1	2	200.0	3001.0	1
1	25.83	12.835	2	13	4	0.5	0	0	0.0	0	2	0.0	3.0	0
1	27.25	1.585	2	13	8	1.835	1	1	12.0	1	2	583.0	714.0	1
0	20.42	7.5	2	4	4	1.5	1	1	1.0	0	2	160.0	235.0	1
0	57.08	0.335	2	3	5	1.0	1	0	0.0	1	2	252.0	2198.0	0
1	19.5	0.29	2	4	4	0.29	0	0	0.0	0	2	280.0	365.0	0
1	22.67	10.5	2	11	8	1.335	1	0	0.0	0	2	100.0	1.0	1
1	32.0	1.75	1	10	8	0.04	1	0	0.0	1	2	393.0	1.0	1
0	21.67	11.5	1	5	3	0.0	1	1	11.0	1	2	0.0	1.0	1
0	22.5	8.5	2	11	4	1.75	1	1	10.0	0	2	80.0	991.0	0
1	18.83	0.415	1	8	4	0.165	0	1	1.0	0	2	200.0	2.0	0
1	34.08	6.5	2	6	4	0.125	1	0	0.0	1	2	443.0	1.0	0
1	39.83	0.5	2	7	4	0.25	1	0	0.0	0	1	288.0	1.0	0
1	32.33	3.5	2	4	4	0.5	0	0	0.0	1	2	232.0	1.0	0
1	34.25	3.0	2	13	8	7.415	1	0	0.0	1	2	0.0	1.0	1
1	20.42	0.0	2	8	4	0.0	0	0	0.0	0	3	184.0	1.0	0
1	33.5	1.75	2	14	8	4.5	1	1	4.0	1	2	253.0	858.0	1
1	74.83	19.0	1	1	1	0.04	0	1	2.0	0	2	0.0	352.0	0
0	38.33	4.415	2	8	4	0.125	0	0	0.0	0	2	160.0	1.0	0
1	17.92	0.205	2	6	4	0.04	0	0	0.0	0	2	280.0	751.0	0
1	40.92	0.5	1	7	4	0.5	0	0	0.0	1	2	130.0	1.0	0
0	46.08	3.0	2	8	4	2.375	1	1	8.0	1	2	396.0	4160.0	1
0	69.5	6.0	2	1	1	0.0	0	0	0.0	0	1	0.0	1.0	0
1	31.57	5.0	1	6	4	8.5	1	0	0.0	0	2	0.0	1.0	0
1	39.58	13.915	2	9	4	8.625	1	1	6.0	1	2	70.0	1.0	1
0	24.75	12.5	2	6	4	1.5	1	1	12.0	1	2	120.0	568.0	1
1	22.0	0.79	2	9	4	0.29	0	1	1.0	0	2	420.0	284.0	0
0	38.75	1.5	2	1	1	0.0	0	0	0.0	0	2	76.0	1.0	0
0	33.25	3.0	1	6	4	2.0	0	0	0.0	0	2	180.0	1.0	0
1	22.67	0.165	2	8	3	2.25	0	0	0.0	1	1	0.0	1.0	1
1	44.25	0.5	2	7	4	10.75	1	0	0.0	0	1	400.0	1.0	0
0	20.83	3.0	2	6	4	0.04	1	0	0.0	0	2	100.0	1.0	1
1	42.17	5.04	2	11	8	12.75	1	0	0.0	1	2	92.0	1.0	1
1	48.33	12.0	2	7	4	16.0	1	0	0.0	0	1	110.0	1.0	1
