A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	class
0	254	1.75	3	3	0	0	0.0	0	0	0.0	1	0	19	1.0	1
1	178	1.625	2	1	4	8	0.54	0	0	0.0	1	0	0	0.0	1
2	71	0.165	2	1	2	5	2.25	0	0	0.0	1	2	0	0.0	0
2	82	0.835	2	1	7	4	0.085	0	0	0.0	1	0	51	5.0	1
2	214	2.665	2	1	3	8	0.165	0	0	0.0	1	0	0	501.0	1
2	316	28.0	3	3	2	8	28.5	1	1	40.0	0	0	0	15.0	0
1	306	15.0	2	1	2	8	5.5	1	1	14.0	0	0	0	2200.0	0
2	188	9.17	2	1	2	8	4.5	1	1	12.0	1	0	0	221.0	0
2	206	5.0	2	1	2	1	2.5	1	1	6.0	0	0	0	367.0	0
1	91	13.665	2	1	11	4	1.5	0	0	0.0	0	0	74	1.0	1
1	263	6.665	2	1	11	8	7.375	1	1	3.0	1	0	0	0.0	0
1	180	3.0	3	3	1	8	2.0	0	0	0.0	0	0	34	0.0	1
2	31	3.54	3	3	6	3	0.0	0	0	0.0	1	0	34	1.0	1
2	277	6.5	2	1	2	8	1.0	0	0	0.0	1	0	0	228.0	1
2	51	3.0	3	3	4	8	1.085	1	1	8.0	1	0	23	1.0	0
2	257	4.625	2	1	11	8	4.58	1	0	0.0	0	2	0	0.0	0
2	207	2.125	3	3	13	8	0.085	1	1	1.0	0	0	135	1187.0	0
2	279	2.5	2	1	10	1	2.5	1	1	12.0	1	0	113	2510.0	0
1	128	0.375	2	1	11	8	0.585	1	1	4.0	0	0	159	0.0	0
1	31	4.415	3	3	2	4	3.0	1	0	0.0	0	0	61	0.0	0
2	282	3.75	2	1	7	1	1.0	0	0	0.0	0	0	1	2.0	1
2	94	11.25	2	1	2	8	2.5	1	1	17.0	0	0	40	1208.0	0
1	276	0.75	2	1	11	4	2.75	1	1	1.0	0	0	89	892.0	0
1	89	1.04	3	3	6	3	0.5	1	1	3.0	0	0	34	147.0	1
2	175	2.5	2	1	3	4	2.75	1	1	6.0	0	0	23	2072.0	0
2	315	12.5	2	1	9	4	8.0	1	0	0.0	1	0	60	2028.0	0
2	298	0.04	2	1	14	4	0.04	1	0	0.0	0	0	0	3000.0	0
2	21	0.165	2	1	11	6	0.21	0	0	0.0	0	0	40	40.0	0
2	9	4.085	2	1	7	4	0.415	0	0	0.0	1	0	8	0.0	1
2	186	5.5	3	3	2	8	1.5	0	0	0.0	1	0	147	0.0	1
2	90	1.25	2	1	2	8	0.25	0	0	0.0	0	0	4	0.0	1
2	55	10.5	2	1	2	8	3.0	1	0	0.0	1	0	0	0.0	0
2	78	12.625	2	1	2	8	0.125	0	1	2.0	0	0	0	5552.0	1
2	300	3.0	3	3	6	3	1.5	0	0	0.0	0	0	34	4.0	1
2	182	2.75	2	1	10	8	4.25	1	1	6.0	0	0	43	0.0	0
1	171	0.54	2	1	3	8	0.04	1	0	0.0	0	0	122	11177.0	0
2	233	1.625	2	1	2	8	1.5	0	0	0.0	0	0	0	316.0	1
2	240	5.0	2	1	2	8	5.0	1	1	7.0	0	0	0	3065.0	0
1	120	1.665	2	1	6	3	0.0	0	0	0.0	0	0	90	1.0	1
2	244	1.25	3	3	13	8	0.25	0	0	0.0	0	0	0	195.0	1
2	348	5.5	2	1	0	0	0.54	1	0	0.0	0	0	0	340.0	1
1	239	7.54	3	3	11	4	8.0	1	1	14.0	0	0	0	2300.0	0
1	81	1.5	2	1	13	8	0.875	0	0	0.0	1	0	23	0.0	1
2	39	10.0	3	3	9	4	0.835	1	0	0.0	1	0	15	0.0	1
2	87	6.625	3	3	4	8	5.5	1	0	0.0	1	2	1	0.0	0
1	338	14.0	2	1	6	3	0.0	1	1	11.0	1	0	0	1400.0	0
2	129	0.875	2	1	10	8	0.96	1	1	3.0	1	0	108	0.0	0
2	78	1.0	2	1	2	8	0.835	1	0	0.0	0	2	80	0.0	0
2	349	4.0	3	3	7	8	0.085	0	0	0.0	1	0	114	0.0	1
2	220	10.125	3	3	9	8	0.125	0	0	0.0	0	0	23	0.0	1
2	204	2.54	2	1	6	3	0.0	0	0	0.0	0	0	0	1000.0	1
2	268	1.5	2	1	2	8	2.5	1	0	0.0	1	0	15	0.0	1
1	341	15.0	2	1	5	9	0.0	1	1	14.0	0	0	0	3376.0	0
1	71	7.0	2	1	2	8	0.165	0	0	0.0	0	0	23	0.0	1
2	349	0.5	2	1	2	1	0.835	1	0	0.0	1	2	86	0.0	1
2	207	3.79	2	1	13	8	1.165	1	0	0.0	1	0	40	0.0	1
2	41	1.25	3	3	9	8	0.125	0	0	0.0	0	0	15	4.0	1
2	31	0.0	2	1	11	8	0.665	0	0	0.0	0	0	23	1.0	1
1	78	5.875	2	1	11	8	3.17	1	1	10.0	0	0	8	245.0	0
1	39	0.21	2	1	11	4	0.29	1	1	11.0	0	0	159	99.0	0
2	46	1.085	2	1	11	8	1.5	0	0	0.0	0	0	3	7.0	1
2	346	19.0	3	3	6	3	0.04	0	1	2.0	0	0	0	351.0	1
1	245	1.0	2	1	7	1	2.25	1	0	0.0	1	0	0	300.0	0
1	112	2.54	3	3	6	3	0.0	0	0	0.0	1	0	34	60.0	1
2	126	3.0	2	1	13	8	0.75	0	0	0.0	1	0	80	67.0	1
2	148	6.5	2	1	3	8	3.125	1	1	8.0	0	0	88	1200.0	0
2	34	4.0	3	3	7	8	1.0	0	0	0.0	1	0	96	1000.0	1
2	179	3.165	3	3	14	8	3.165	1	1	3.0	1	0	103	0.0	0
2	33	1.75	3	3	2	8	2.335	0	0	0.0	1	0	5	6.0	1
2	52	4.125	3	3	7	4	0.04	0	0	0.0	0	0	15	100.0	1
2	240	1.5	2	1	7	1	0.0	0	0	0.0	0	2	80	0.0	1
1	332	16.5	2	1	11	8	11.0	1	0	0.0	1	0	45	10561.0	0
2	117	1.5	3	3	13	8	0.375	1	0	0.0	1	0	67	1065.0	0
2	235	0.5	2	1	10	8	0.25	1	0	0.0	0	2	75	0.0	1
2	179	3.04	3	3	2	4	2.04	1	1	1.0	1	0	34	18027.0	0
1	140	1.085	3	3	14	8	1.0	0	0	0.0	0	0	74	13.0	1
1	132	1.0	2	1	11	8	1.0	1	1	2.0	1	0	26	500.0	1
2	339	11.0	2	1	5	9	20.0	1	1	7.0	1	0	50	0.0	0
1	40	0.75	2	1	2	8	0.795	1	1	5.0	1	0	15	5.0	1
2	242	0.835	2	1	6	3	0.0	1	0	0.0	0	0	12	1.0	1
2	12	0.25	2	1	11	8	0.335	0	1	4.0	0	0	23	8.0	1
2	154	2.5	2	1	3	4	2.25	0	0	0.0	1	2	90	0.0	1
1	10	1.25	2	1	11	8	0.25	0	1	1.0	0	0	3	98.0	1
2	275	5.835	2	1	13	8	5.5	0	0	0.0	0	0	129	150.0	1
1	121	14.5	2	1	14	4	3.085	1	1	1.0	0	0	8	11.0	0
2	65	2.25	2	1	7	8	0.125	0	0	0.0	0	0	23	10.0	1
1	167	6.0	2	1	4	8	1.25	0	0	0.0	0	0	70	0.0	1
2	58	0.79	3	3	3	8	0.665	0	0	0.0	0	0	23	0.0	1
2	77	0.0	0	0	0	0	0.0	0	0	0.0	0	1	170	0.0	0
2	75	0.75	2	1	10	8	0.5	0	0	0.0	1	2	86	0.0	1
2	10	0.125	2	1	2	8	0.165	0	0	0.0	0	0	13	0.0	1
2	48	0.835	3	3	2	8	2.0	0	0	0.0	1	2	61	0.0	1
1	118	1.25	2	1	6	3	0.0	0	1	1.0	0	0	163	300.0	1
1	20	0.54	2	1	2	8	1.75	0	1	1.0	1	0	159	5.0	1
1	134	1.04	2	1	2	8	2.5	1	1	5.0	1	0	80	1430.0	0
2	159	2.835	2	1	6	3	0.0	0	1	5.0	0	0	32	146.0	1
2	79	11.625	3	3	13	8	0.835	1	0	0.0	1	0	23	300.0	0
1	122	3.0	2	1	10	8	2.79	0	1	1.0	1	0	74	10.0	1
1	228	4.0	2	1	2	8	3.0	0	0	0.0	0	0	131	0.0	1
2	78	1.5	2	1	11	8	2.375	1	1	3.0	1	0	0	582.0	0
1	135	3.75	2	1	2	8	1.085	1	1	1.0	1	0	100	0.0	0
1	151	1.375	2	1	13	4	0.04	0	1	3.0	0	0	0	33.0	1
1	127	15.0	3	3	5	9	0.0	1	0	0.0	0	0	0	13212.0	0
2	296	0.585	2	1	6	3	0.0	0	0	0.0	0	0	18	0.0	1
1	183	0.375	2	1	3	8	0.375	0	0	0.0	0	0	80	44.0	0
2	75	0.625	3	3	1	8	0.125	1	0	0.0	0	0	34	1.0	1
1	280	8.0	2	1	2	8	7.875	1	1	6.0	1	0	0	1260.0	0
2	64	11.0	2	1	3	8	0.665	1	0	0.0	0	0	1	0.0	0
2	66	9.0	2	1	1	8	0.085	0	0	0.0	0	0	0	0.0	1
2	261	25.21	2	1	11	4	0.21	1	1	1.0	0	0	158	90.0	1
2	61	1.54	2	1	9	8	0.085	0	0	0.0	1	0	95	0.0	1
1	3	7.625	2	1	11	8	0.125	0	1	1.0	1	0	0	160.0	1
2	71	0.75	2	1	7	8	1.585	0	1	1.0	1	0	111	9.0	1
2	98	0.58	2	1	2	8	0.29	1	1	7.0	1	0	167	5124.0	0
1	325	10.0	2	1	11	8	4.0	1	1	14.0	0	0	0	1602.0	0
2	17	10.0	2	1	13	4	0.165	0	1	1.0	0	0	8	1.0	1
2	186	4.5	2	1	1	8	1.0	1	0	0.0	1	0	61	0.0	1
2	53	0.0	2	1	2	8	0.5	0	0	0.0	1	2	0	0.0	1
1	19	11.0	2	1	14	4	1.0	1	1	11.0	0	0	0	3000.0	0
2	36	1.5	3	3	3	8	2.0	1	0	0.0	1	0	1	20.0	1
1	69	11.0	3	3	11	8	3.0	1	0	0.0	1	0	69	0.0	1
2	52	10.085	3	3	5	4	1.25	0	0	0.0	0	0	67	0.0	1
1	97	12.5	2	1	4	8	1.0	0	0	0.0	1	0	34	1062.0	1
2	81	3.165	3	3	9	8	0.415	0	1	1.0	1	0	74	80.0	1
2	83	0.415	3	3	2	8	0.04	0	1	2.0	0	0	10	6.0	1
1	74	11.585	2	1	3	8	0.04	1	0	0.0	0	0	159	1349.0	0
2	130	5.0	2	1	13	8	11.0	1	0	0.0	1	0	152	0.0	0
1	101	0.0	0	0	0	0	0.0	0	0	0.0	0	1	170	0.0	0
2	138	13.0	2	1	4	4	0.5	0	0	0.0	0	0	55	0.0	1
2	43	9.25	2	1	2	8	1.665	1	1	3.0	1	0	110	28.0	0
2	76	11.5	2	1	7	8	3.5	1	1	9.0	0	0	144	742.0	0
2	260	2.25	2	1	7	1	0.75	1	0	0.0	0	0	145	0.0	1
2	61	11.0	2	1	14	8	0.29	1	1	6.0	0	0	9	0.0	0
0	42	0.125	2	1	11	8	1.0	0	1	1.0	0	0	61	768.0	0
2	126	2.0	2	1	9	4	4.165	1	1	2.0	1	0	35	0.0	0
1	164	3.0	3	3	8	5	0.0	0	0	0.0	0	0	23	20.0	1
2	115	0.54	2	1	9	3	0.0	0	0	0.0	0	0	1	0.0	1
2	209	4.25	2	1	11	8	3.5	0	0	0.0	0	0	126	50.0	1
1	31	9.5	2	1	13	8	1.625	1	1	6.0	1	0	110	600.0	0
2	345	17.75	2	1	6	3	0.0	1	0	0.0	1	0	0	0.0	0
1	321	0.335	2	1	7	1	1.0	1	0	0.0	1	0	63	2197.0	1
2	57	9.75	2	1	2	8	0.25	1	0	0.0	0	0	15	0.0	1
1	141	1.75	3	3	9	8	1.25	0	0	0.0	1	0	74	0.0	1
2	336	0.54	2	1	2	8	0.585	1	1	3.0	1	0	34	0.0	1
2	108	12.5	3	3	9	4	1.25	0	0	0.0	1	0	0	17.0	1
2	215	2.04	2	1	13	8	0.04	1	0	0.0	1	0	111	5800.0	0
2	89	13.335	3	3	1	8	0.04	0	0	0.0	1	0	8	475.0	1
1	344	0.0	0	0	0	0	0.0	0	0	0.0	0	1	170	0.0	0
2	193	1.08	2	1	10	8	1.165	0	0	0.0	0	2	73	0.0	1
2	173	5.5	2	1	11	4	5.5	1	1	12.0	1	0	112	1000.0	0
1	133	1.665	2	1	11	8	2.415	1	0	0.0	1	0	122	0.0	1
1	301	6.5	2	1	7	1	3.085	0	0	0.0	1	0	155	0.0	1
2	284	25.085	2	1	13	8	1.75	1	1	3.0	0	0	8	14.0	0
1	32	9.25	3	3	2	8	1.0	1	1	4.0	1	0	159	500.0	0
2	318	18.5	2	1	4	1	15.0	1	1	17.0	1	0	0	0.0	0
2	0	4.0	3	3	13	8	1.75	1	1	2.0	1	0	8	1000.0	0
2	166	4.46	2	1	3	4	6.04	1	1	3.0	0	0	83	300.0	0
1	49	10.335	2	1	3	4	0.335	1	1	1.0	1	0	159	50.0	0
2	12	3.29	2	1	7	8	0.335	0	0	0.0	1	0	15	2.0	1
2	135	1.5	3	3	2	8	1.5	1	0	0.0	1	0	0	225.0	1
2	218	7.0	2	1	11	4	11.5	1	1	7.0	1	0	80	5.0	1
1	50	8.5	2	1	2	8	0.165	0	0	0.0	0	0	0	351.0	1
2	199	3.165	2	1	14	4	3.75	1	0	0.0	1	0	151	0.0	1
2	216	1.75	3	3	2	1	0.25	1	0	0.0	1	0	25	400.0	1
2	247	1.54	2	1	7	1	3.5	0	0	0.0	0	0	49	0.0	0
2	251	0.205	2	1	7	4	5.125	1	0	0.0	0	0	111	0.0	0
2	349	10.5	2	1	14	8	6.5	1	0	0.0	0	0	0	0.0	0
2	139	1.25	2	1	2	4	0.25	0	1	2.0	1	0	111	108.0	1
2	129	5.04	3	3	2	1	1.5	1	1	8.0	1	0	17	7.0	0
2	103	0.5	2	1	2	8	1.46	1	1	5.0	1	0	84	0.0	0
2	256	3.0	2	1	7	1	1.0	1	0	0.0	0	0	0	200.0	1
1	32	9.0	2	1	1	8	0.75	1	1	2.0	0	0	162	591.0	0
2	229	1.625	2	1	2	8	1.5	1	1	10.0	0	0	36	4700.0	0
1	221	4.415	2	1	2	8	0.125	0	0	0.0	0	0	23	0.0	1
2	250	0.42	2	1	2	4	0.21	1	1	6.0	0	0	51	948.0	0
0	140	2.0	3	3	5	4	2.0	0	0	0.0	0	0	66	17.0	1
2	157	2.085	2	1	2	8	0.085	0	0	0.0	0	0	80	0.0	1
2	38	0.585	2	1	6	3	0.0	0	1	3.0	0	0	93	769.0	1
2	96	3.0	2	1	2	8	1.25	0	1	1.0	0	0	0	22.0	1
2	246	5.0	2	1	11	4	5.0	1	1	6.0	1	0	130	0.0	0
1	96	2.875	2	1	14	4	0.875	1	0	0.0	0	0	96	0.0	0
2	84	1.5	2	1	4	4	1.875	1	1	6.0	0	0	40	327.0	0
2	123	13.75	2	1	13	8	5.75	1	0	0.0	1	0	132	500.0	0
2	85	9.0	2	1	1	8	0.25	0	0	0.0	1	0	0	0.0	1
2	20	0.205	2	1	1	8	0.04	0	0	0.0	0	0	74	750.0	1
2	171	2.5	2	1	2	8	1.25	0	0	0.0	1	0	74	0.0	1
2	287	0.205	3	3	9	8	0.25	1	1	11.0	0	0	103	2732.0	0
2	76	0.0	2	1	9	8	1.0	0	1	11.0	0	2	0	0.0	1
2	349	0.375	2	1	4	8	0.875	1	0	0.0	1	2	164	0.0	1
2	205	0.42	3	3	13	8	0.29	0	0	0.0	1	0	82	2.0	1
2	168	4.0	2	1	10	8	2.5	1	0	0.0	1	0	96	0.0	0
1	34	0.585	3	3	1	8	0.585	1	0	0.0	1	0	23	0.0	1
2	8	0.835	2	1	10	8	0.085	1	0	0.0	0	2	40	0.0	1
2	35	10.915	2	1	2	1	0.585	0	1	2.0	1	0	40	7.0	1
2	262	2.0	2	1	10	8	1.75	1	1	2.0	1	0	0	15.0	0
1	289	1.5	2	1	8	5	0.0	1	0	0.0	1	0	1	27.0	1
1	83	0.71	2	1	13	8	0.25	0	1	1.0	1	0	61	4.0	1
2	223	3.335	2	1	13	8	4.0	1	1	14.0	0	0	105	1344.0	0
2	72	11.5	2	1	7	8	0.415	0	0	0.0	0	0	0	0.0	1
1	132	3.04	3	3	14	4	2.54	1	1	1.0	0	0	152	0.0	0
1	169	1.46	2	1	13	8	1.085	1	1	16.0	0	0	8	2079.0	0
2	65	12.125	2	1	2	8	3.335	0	1	2.0	1	0	34	173.0	1
2	213	4.0	2	1	2	1	5.0	1	0	0.0	1	2	74	0.0	1
2	1	7.0	2	1	5	8	1.0	0	0	0.0	0	0	148	0.0	1
1	108	2.0	2	1	8	5	0.0	0	0	0.0	1	0	72	1.0	1
2	42	0.25	2	1	11	8	0.125	0	0	0.0	0	0	40	0.0	1
2	304	1.5	2	1	4	8	3.75	0	0	0.0	1	0	0	350.0	1
2	253	5.04	2	1	11	4	12.75	1	0	0.0	1	0	163	0.0	0
1	244	6.5	2	1	11	8	0.5	1	1	3.0	1	0	18	0.0	0
2	260	5.0	2	1	7	1	2.25	0	0	0.0	1	0	16	0.0	1
2	102	2.21	3	3	1	8	4.0	1	0	0.0	0	0	37	0.0	1
2	236	5.0	2	1	7	1	0.21	0	0	0.0	0	0	143	0.0	1
2	113	14.585	2	1	7	1	0.0	0	0	0.0	1	0	33	0.0	1
2	236	0.54	3	3	1	8	0.5	1	1	3.0	0	0	40	1000.0	0
2	228	6.0	2	1	10	8	1.29	1	1	5.0	1	0	3	1097.0	0
2	214	6.5	2	1	10	4	4.25	1	1	12.0	1	0	165	0.0	0
1	98	2.085	2	1	2	4	2.75	1	0	0.0	1	0	96	1.0	1
1	94	0.875	2	1	14	4	1.04	1	0	0.0	1	0	23	5860.0	0
2	59	1.165	3	3	9	8	2.5	1	1	1.0	0	0	34	20.0	1
1	270	10.5	2	1	11	8	5.0	1	1	7.0	1	0	0	0.0	0
1	93	1.25	2	1	6	3	0.0	1	0	0.0	0	0	159	0.0	1
2	264	0.5	2	1	10	8	10.75	1	0	0.0	0	2	111	0.0	1
1	66	1.25	3	3	6	3	3.25	0	0	0.0	0	0	74	0.0	1
2	41	0.0	2	1	4	8	0.5	0	0	0.0	0	0	17	0.0	1
1	34	8.585	2	1	3	4	0.75	1	1	7.0	0	0	167	0.0	0
2	6	0.75	2	1	2	8	1.75	1	1	5.0	1	0	94	690.0	0
2	237	6.5	2	1	1	1	3.5	1	1	1.0	0	0	0	500.0	0
2	244	4.04	2	1	3	4	7.0	1	1	8.0	0	0	86	0.0	0
2	229	2.5	3	3	7	4	10.0	0	0	0.0	1	2	40	0.0	1
2	90	13.5	3	3	6	3	0.0	0	0	0.0	0	0	170	0.0	1
2	240	3.29	2	1	10	8	3.5	0	0	0.0	1	2	111	0.0	1
1	149	5.5	2	1	9	8	5.5	0	0	0.0	1	2	1	0.0	1
2	54	1.5	2	1	13	8	1.5	0	0	0.0	0	0	19	8.0	0
2	173	9.0	3	3	13	4	5.25	1	0	0.0	1	0	21	0.0	0
2	291	7.585	2	1	7	1	7.585	1	1	15.0	1	0	0	5000.0	0
2	179	1.04	2	1	12	4	6.5	1	0	0.0	1	0	25	31285.0	0
1	11	0.5	2	1	7	8	0.165	0	1	6.0	1	0	61	35.0	1
2	144	1.25	3	3	9	8	0.25	0	0	0.0	0	0	53	0.0	1
1	274	13.0	2	1	7	1	5.165	1	1	9.0	1	0	0	0.0	0
2	279	0.29	2	1	2	1	15.0	1	1	20.0	0	0	0	15000.0	0
1	71	0.75	2	1	2	8	2.0	0	1	2.0	1	0	40	394.0	1
2	72	11.0	2	1	11	8	2.5	1	1	7.0	1	0	1	809.0	0
2	51	4.79	3	3	13	8	2.25	1	1	1.0	1	0	159	300.0	0
2	266	7.0	3	3	2	8	1.625	0	0	0.0	0	0	23	2.0	1
2	171	3.5	2	1	9	8	0.5	0	0	0.0	1	0	58	0.0	1
2	138	14.79	2	1	1	8	5.04	1	1	5.0	1	0	27	0.0	0
2	57	11.5	2	1	7	8	0.5	1	0	0.0	1	0	1	68.0	1
1	154	12.0	2	1	2	8	2.0	1	1	1.0	0	0	51	19.0	0
2	79	1.5	2	1	2	4	1.415	1	0	0.0	0	0	117	200.0	0
2	144	3.5	2	1	2	8	0.165	0	0	0.0	0	0	49	0.0	1
2	125	1.5	2	1	13	8	2.25	0	1	1.0	1	0	1	3.0	1
2	25	1.21	3	3	5	2	0.0	0	0	0.0	0	0	1	0.0	1
2	264	11.0	3	3	4	8	1.5	1	0	0.0	0	2	0	0.0	1
1	212	4.71	2	1	6	3	0.0	0	0	0.0	0	0	23	0.0	1
2	69	11.5	3	3	10	8	1.5	0	0	0.0	1	0	0	4000.0	1
2	113	1.75	3	3	2	8	1.0	1	1	5.0	1	0	23	5777.0	0
2	26	10.415	3	3	1	8	0.125	1	0	0.0	0	0	8	375.0	1
1	75	1.835	2	1	8	5	0.0	0	1	1.0	0	0	40	53.0	1
2	191	4.04	3	3	7	1	8.5	1	1	7.0	1	0	38	0.0	0
1	94	11.0	3	3	1	8	4.5	1	0	0.0	0	0	8	0.0	1
2	70	10.04	2	1	14	8	0.04	1	1	9.0	0	0	147	396.0	0
2	133	3.625	2	1	1	8	0.25	0	0	0.0	1	0	1	0.0	1
1	218	5.5	2	1	11	8	0.125	1	0	0.0	1	0	55	0.0	0
2	145	1.835	2	1	2	4	4.335	1	0	0.0	0	0	67	200.0	0
2	243	0.04	2	1	5	8	0.04	0	1	1.0	0	2	145	0.0	0
1	80	0.79	3	3	11	8	1.5	1	1	2.0	1	0	159	400.0	0
2	71	2.54	3	3	2	4	2.585	1	0	0.0	0	0	0	0.0	0
2	282	6.04	2	1	9	8	0.04	0	0	0.0	0	0	0	2690.0	0
1	198	3.75	2	1	6	3	0.0	0	1	6.0	0	0	0	200.0	1
2	234	13.915	2	1	13	8	8.625	1	1	6.0	1	0	152	0.0	0
2	24	0.165	2	1	4	8	0.25	0	0	0.0	1	2	74	0.0	1
2	347	22.29	2	1	5	9	12.75	1	1	1.0	1	0	0	109.0	0
2	76	11.5	2	1	13	4	2.125	1	1	11.0	1	0	77	284.0	0
1	9	0.21	2	1	1	8	0.125	0	0	0.0	0	0	40	1.0	1
2	142	1.415	2	1	13	4	0.75	1	1	1.0	0	0	61	100.0	0
2	41	11.045	2	1	2	8	2.0	0	0	0.0	1	0	14	0.0	1
2	34	9.5	2	1	13	8	1.5	1	0	0.0	0	0	8	2206.0	0
2	234	5.0	2	1	6	3	0.0	0	1	2.0	0	0	28	1.0	1
2	23	10.25	2	1	2	4	1.085	0	0	0.0	0	0	86	13.0	1
2	189	3.0	2	1	3	4	7.415	1	0	0.0	1	0	0	0.0	0
1	180	2.5	3	3	2	8	2.5	0	0	0.0	1	0	0	2.0	1
2	80	1.0	2	1	2	8	0.5	0	0	0.0	1	2	74	0.0	1
1	202	0.915	2	1	1	8	0.75	1	1	4.0	0	0	0	1583.0	0
2	189	1.75	2	1	13	1	0.25	1	0	0.0	1	0	24	0.0	1
2	119	1.665	2	1	3	4	5.085	1	1	9.0	0	0	109	827.0	0
2	62	0.5	2	1	2	8	0.125	0	0	0.0	0	0	96	0.0	1
2	82	0.46	3	3	13	8	2.625	1	1	6.0	1	0	44	347.0	1
2	84	0.665	2	1	2	8	0.165	0	0	0.0	0	0	1	0.0	0
2	231	5.875	2	1	3	4	10.0	1	1	14.0	1	0	109	0.0	0
1	133	3.54	2	1	7	1	0.5	1	0	0.0	1	0	30	0.0	1
1	71	0.79	2	1	7	8	0.085	0	0	0.0	0	0	17	0.0	1
2	121	12.5	2	1	1	1	0.25	0	0	0.0	1	0	154	0.0	1
2	179	1.0	2	1	14	8	0.75	1	1	7.0	1	0	90	4071.0	0
1	272	3.0	2	1	2	8	2.375	1	1	8.0	1	0	108	4159.0	0
1	159	3.75	2	1	3	4	0.625	1	1	9.0	1	0	35	0.0	0
2	12	0.085	3	3	2	8	0.04	0	0	0.0	0	0	15	722.0	1
2	116	2.25	2	1	7	1	0.5	0	0	0.0	1	0	150	4000.0	1
1	47	11.835	2	1	2	4	6.0	1	0	0.0	0	0	90	0.0	0
2	186	5.085	3	3	7	1	1.085	0	0	0.0	1	0	131	0.0	1
2	124	1.29	2	1	9	4	0.25	0	0	0.0	1	2	15	0.0	1
2	330	1.54	2	1	11	8	0.125	1	0	0.0	1	0	67	0.0	0
2	99	0.54	2	1	13	8	0.165	0	1	1.0	0	0	70	444.0	1
1	95	2.54	3	3	1	8	0.25	1	0	0.0	1	0	99	0.0	0
1	45	10.0	2	1	2	4	1.0	1	1	4.0	0	0	135	1465.0	0
1	307	0.165	2	1	6	3	0.0	0	0	0.0	1	2	149	27.0	1
2	123	0.75	2	1	11	4	0.165	0	0	0.0	1	0	51	251.0	1
1	38	0.665	2	1	13	8	1.665	0	0	0.0	0	0	51	5.0	1
2	81	2.75	2	1	6	3	4.5	0	0	0.0	0	0	23	25.0	1
2	28	10.29	2	1	6	3	0.415	0	0	0.0	0	0	159	0.0	1
2	71	1.585	3	3	13	8	3.085	1	1	6.0	0	0	159	0.0	0
2	108	0.835	2	1	3	8	1.165	0	0	0.0	0	0	1	0.0	1
2	249	0.96	2	1	14	8	2.5	1	0	0.0	0	0	137	600.0	0
2	65	0.585	3	3	6	3	0.0	0	0	0.0	0	0	1	0.0	1
1	349	11.25	2	1	6	3	0.0	0	0	0.0	0	0	170	5200.0	1
2	198	4.5	2	1	14	4	5.75	0	0	0.0	1	2	153	0.0	0
2	97	1.0	2	1	1	8	0.5	0	0	0.0	0	0	40	0.0	1
2	47	10.0	3	3	2	8	2.5	1	0	0.0	0	2	110	0.0	0
2	197	2.5	2	1	7	8	1.0	0	0	0.0	1	0	46	0.0	1
1	3	0.585	2	1	2	4	1.5	1	1	2.0	0	0	1	0.0	0
2	288	8.5	2	1	2	4	12.5	1	1	9.0	0	0	35	1655.0	0
2	84	0.585	3	3	3	4	0.125	0	0	0.0	0	0	61	1.0	1
2	312	15.5	2	1	5	9	0.0	1	1	20.0	0	0	20	130.0	1
2	43	5.625	2	1	13	8	1.71	1	0	0.0	0	2	8	0.0	0
1	50	3.0	2	1	1	8	0.04	1	0	0.0	0	0	1	0.0	0
2	125	1.0	3	3	4	4	3.0	0	0	0.0	0	0	32	537.0	1
1	82	0.83	2	1	11	8	0.415	0	1	1.0	1	0	40	11.0	1
2	224	0.21	2	1	9	8	0.085	1	0	0.0	1	0	74	0.0	0
2	324	7.04	2	1	10	8	14.0	1	1	6.0	1	0	96	1332.0	0
2	114	1.125	2	1	14	4	1.25	1	0	0.0	0	0	0	5298.0	0
1	69	0.415	2	1	7	8	0.335	0	0	0.0	1	2	17	0.0	1
1	82	11.5	3	3	9	4	3.0	0	0	0.0	1	0	39	16.0	1
2	88	12.335	2	1	11	4	1.585	1	0	0.0	1	0	8	0.0	0
2	96	6.0	2	1	2	8	1.0	1	1	3.0	0	0	0	0.0	0
1	185	1.585	3	3	6	3	0.0	1	0	0.0	0	0	86	0.0	1
0	143	0.665	2	1	13	8	0.25	0	0	0.0	1	0	80	0.0	1
2	258	0.29	3	3	3	4	1.75	1	1	8.0	0	0	1	375.0	0
1	241	10.0	2	1	11	4	1.75	1	0	0.0	0	0	76	837.0	0
1	72	6.165	2	1	1	8	0.165	0	0	0.0	0	0	51	1000.0	1
2	217	0.0	0	0	0	0	0.0	0	0	0.0	0	1	170	0.0	0
2	242	2.25	3	3	14	4	10.0	1	0	0.0	1	0	32	0.0	1
2	162	0.75	3	3	1	8	3.5	0	0	0.0	1	0	86	0.0	1
2	64	2.335	2	1	9	8	0.75	0	0	0.0	0	0	34	0.0	1
1	146	5.29	2	1	5	2	2.25	1	1	5.0	1	0	169	500.0	0
2	47	2.415	2	1	2	8	2.0	1	1	11.0	1	0	40	3000.0	0
