At1	At2	class
-0.0618	0.358	1.0
-0.929	-1.39	-1.0
1.14	-0.0771	-1.0
-0.85	-0.92	-1.0
-1.78	-1.49	1.0
-1.86	-0.977	1.0
-0.6990000000000001	-0.0005780000000000001	1.0
-0.995	-1.39	-1.0
-0.233	0.593	1.0
-0.415	1.48	-1.0
-1.66	-0.792	1.0
-0.152	-0.669	-1.0
-0.6729999999999999	0.313	1.0
-1.24	-0.72	1.0
0.73	-0.37	-1.0
-1.25	0.10400000000000001	1.0
1.85	1.38	1.0
0.134	-0.922	-1.0
0.546	-0.195	1.0
0.604	1.03	-1.0
-1.13	-1.08	1.0
-1.13	0.193	1.0
-1.62	1.02	-1.0
-1.07	-1.11	1.0
-0.44299999999999995	1.86	-1.0
0.0438	0.536	1.0
-0.262	-1.2	-1.0
0.156	0.152	1.0
-0.311	0.995	1.0
0.639	1.2	-1.0
-1.42	-0.36	1.0
-1.43	0.7070000000000001	-1.0
1.52	-1.34	1.0
-1.91	-2.24	1.0
0.132	2.0	-1.0
2.06	1.12	1.0
0.512	-1.34	-1.0
-0.138	-0.951	-1.0
1.15	0.8240000000000001	-1.0
0.233	-1.29	-1.0
-0.124	-1.27	-1.0
0.0584	-0.638	1.0
0.486	0.245	1.0
-0.0227	0.163	1.0
1.15	1.16	1.0
0.8340000000000001	1.24	-1.0
-2.03	-1.65	1.0
0.0205	1.23	-1.0
0.522	1.36	1.0
-0.8009999999999999	-0.24	1.0
-0.17800000000000002	-0.23800000000000002	1.0
1.16	1.05	-1.0
-1.94	-1.03	1.0
1.45	0.273	-1.0
-1.07	1.16	-1.0
0.413	-1.3	-1.0
1.32	0.0928	-1.0
0.322	1.68	1.0
-0.292	-1.32	-1.0
0.20600000000000002	1.19	-1.0
-0.639	-1.37	-1.0
0.40700000000000003	1.67	1.0
0.14400000000000002	1.56	-1.0
-1.58	0.588	-1.0
-1.58	0.807	-1.0
0.6829999999999999	-0.0347	1.0
-0.6679999999999999	-1.13	-1.0
-2.05	-1.4	1.0
-0.679	-0.0957	1.0
-0.924	1.45	-1.0
-0.547	-1.31	-1.0
0.0296	1.2	-1.0
2.23	0.895	1.0
-0.56	-1.41	-1.0
-0.5579999999999999	-1.67	-1.0
0.0598	-1.26	-1.0
0.51	-1.15	-1.0
-0.122	-0.0671	1.0
-0.502	-1.04	-1.0
1.41	-0.8079999999999999	1.0
-0.68	0.314	1.0
-0.34700000000000003	0.574	1.0
-0.155	1.29	-1.0
1.18	0.0819	-1.0
1.8	-1.0	-1.0
-0.653	-0.7340000000000001	-1.0
1.3	0.648	-1.0
0.265	-0.182	1.0
0.8959999999999999	0.36	1.0
-0.945	-1.43	-1.0
-1.26	-1.01	1.0
-1.65	-0.723	1.0
-0.10300000000000001	-1.71	-1.0
1.87	1.19	1.0
0.8390000000000001	-0.0819	1.0
0.16699999999999998	0.87	-1.0
-0.917	-0.863	-1.0
1.26	-0.912	1.0
-0.7859999999999999	-1.02	-1.0
2.81	1.3	1.0
0.725	-0.54	1.0
-0.7090000000000001	-0.262	1.0
0.56	-1.05	-1.0
-1.0	0.078	1.0
1.18	-0.0513	-1.0
-1.29	0.8909999999999999	-1.0
0.126	-0.865	-1.0
1.31	-0.23800000000000002	-1.0
1.62	-0.919	-1.0
0.9179999999999999	0.82	-1.0
2.17	1.24	1.0
0.433	0.38	1.0
0.21100000000000002	-1.28	-1.0
1.18	-0.0335	-1.0
-1.32	-0.40299999999999997	1.0
-0.0936	-1.28	-1.0
-0.812	-0.41100000000000003	1.0
0.9329999999999999	1.21	-1.0
0.642	0.909	-1.0
1.16	1.48	1.0
-0.54	-0.601	1.0
-1.48	-0.682	1.0
1.41	-1.48	1.0
-1.63	-1.16	1.0
0.6629999999999999	1.7	-1.0
0.0329	1.88	-1.0
-1.08	-0.0594	1.0
0.981	-0.0572	-1.0
-0.33399999999999996	0.18	1.0
-0.47700000000000004	0.6759999999999999	1.0
1.12	-0.7559999999999999	1.0
1.36	0.48200000000000004	-1.0
0.12300000000000001	-1.62	-1.0
-0.259	0.996	-1.0
-0.0662	-0.479	1.0
-1.4	0.5529999999999999	-1.0
0.1	-1.48	-1.0
1.37	0.428	-1.0
-0.32	0.7070000000000001	1.0
1.76	1.33	1.0
-0.254	0.40299999999999997	1.0
0.636	1.34	1.0
-0.43700000000000006	-0.9840000000000001	-1.0
-0.804	0.396	1.0
0.685	2.2	-1.0
1.89	0.8340000000000001	1.0
-0.615	-1.36	-1.0
0.387	1.71	-1.0
-0.23800000000000002	-1.49	-1.0
-1.03	-0.42200000000000004	1.0
0.6559999999999999	0.8440000000000001	-1.0
0.713	2.04	1.0
1.26	1.72	-1.0
-0.745	0.987	-1.0
-1.44	-0.358	1.0
0.127	1.22	-1.0
1.79	1.5	1.0
-0.27	0.0117	1.0
0.418	-1.12	-1.0
2.17	1.45	1.0
1.66	1.3	1.0
2.12	1.1	1.0
-0.252	0.623	1.0
0.16	-1.4	-1.0
1.27	0.301	-1.0
-0.93	0.758	-1.0
-0.966	0.48700000000000004	1.0
0.0236	-1.07	-1.0
0.517	-0.9309999999999999	-1.0
-1.95	-0.9	1.0
0.213	-0.752	-1.0
-0.377	-0.973	-1.0
0.395	0.423	1.0
-0.76	-0.862	-1.0
-0.9470000000000001	0.445	1.0
0.11199999999999999	0.23800000000000002	1.0
1.24	0.342	-1.0
-0.322	-0.35600000000000004	1.0
-1.15	0.5870000000000001	-1.0
0.9229999999999999	0.24600000000000002	-1.0
-0.33899999999999997	0.8059999999999999	1.0
-0.711	0.0759	1.0
0.157	-0.934	-1.0
0.235	-1.05	-1.0
-0.111	-1.33	-1.0
-0.6509999999999999	0.369	1.0
0.527	1.18	-1.0
1.76	1.48	1.0
0.0386	-1.26	-1.0
0.584	-0.212	1.0
-1.02	-1.01	-1.0
-1.2	-0.248	1.0
-0.8240000000000001	0.858	-1.0
0.191	1.94	-1.0
-0.259	1.34	-1.0
-1.22	1.12	-1.0
1.11	0.57	-1.0
0.073	-0.0016899999999999999	1.0
-0.0281	-0.32299999999999995	1.0
0.48	-1.15	-1.0
0.0967	-1.4	-1.0
0.375	1.24	-1.0
-1.63	0.10099999999999999	-1.0
0.02	-1.54	-1.0
0.5920000000000001	1.15	-1.0
0.0071	-0.924	-1.0
0.784	0.972	-1.0
1.33	0.335	-1.0
-1.42	-0.0747	1.0
-0.795	1.17	-1.0
-0.0247	-1.5	-1.0
0.904	1.04	-1.0
0.237	0.0367	1.0
0.604	-0.7090000000000001	1.0
-0.948	-0.982	-1.0
0.6859999999999999	-0.19	1.0
1.2	-0.754	1.0
-1.59	0.763	-1.0
0.255	0.41200000000000003	-1.0
1.78	1.35	1.0
-0.629	-0.11800000000000001	1.0
0.0428	-1.04	-1.0
0.973	0.457	-1.0
-0.639	1.28	-1.0
1.23	-0.00847	-1.0
2.64	0.966	1.0
0.32299999999999995	-0.7959999999999999	1.0
-1.12	-1.39	-1.0
-1.14	0.693	-1.0
0.0328	1.22	-1.0
0.0496	-1.05	-1.0
-2.11	-1.45	1.0
-1.28	0.213	1.0
-0.5770000000000001	0.20600000000000002	1.0
2.71	1.35	1.0
0.121	1.63	-1.0
-0.0275	-1.42	-1.0
-1.15	0.406	1.0
-0.204	-1.54	-1.0
-0.299	-1.14	-1.0
0.21600000000000003	1.96	1.0
-0.5670000000000001	-1.14	-1.0
-0.23600000000000002	-1.17	-1.0
1.22	-0.0466	-1.0
-0.852	-0.59	1.0
-1.06	0.917	-1.0
0.595	1.02	-1.0
1.05	0.768	-1.0
0.996	1.04	-1.0
1.0	1.69	1.0
0.799	0.995	-1.0
0.725	1.39	-1.0
0.782	1.8	-1.0
1.93	1.34	1.0
-0.7909999999999999	-1.43	-1.0
1.33	-0.486	1.0
1.64	-0.605	-1.0
1.13	0.33	-1.0
-1.58	0.456	-1.0
-0.0767	0.000168	1.0
-1.87	-1.17	1.0
-0.892	1.25	-1.0
0.785	0.17300000000000001	-1.0
1.04	0.779	-1.0
-0.693	0.953	-1.0
0.682	-0.146	-1.0
-0.16699999999999998	1.07	-1.0
-0.621	-1.12	-1.0
0.133	-0.22699999999999998	1.0
0.871	1.29	-1.0
-0.7190000000000001	-0.384	1.0
0.0379	-1.64	-1.0
1.57	1.43	1.0
0.314	1.84	-1.0
1.68	-0.293	-1.0
-0.6559999999999999	-0.33399999999999996	1.0
0.551	0.9209999999999999	-1.0
-1.52	0.946	-1.0
-0.156	-1.16	-1.0
0.0652	-0.7659999999999999	-1.0
-1.15	0.7709999999999999	-1.0
1.07	-0.221	1.0
0.535	1.4	-1.0
-0.0692	1.73	1.0
2.36	1.33	1.0
-0.599	-0.965	-1.0
-0.903	-0.0822	1.0
-1.6	0.682	-1.0
0.271	-0.0382	1.0
0.838	0.603	-1.0
1.34	-0.6890000000000001	-1.0
0.657	1.05	-1.0
-1.52	0.506	-1.0
-1.21	0.488	-1.0
-0.11199999999999999	1.85	1.0
0.74	1.53	1.0
0.451	-0.008329999999999999	1.0
-1.6	0.632	-1.0
-2.1	-0.8590000000000001	1.0
-1.37	0.645	-1.0
0.52	1.25	-1.0
-0.198	-0.536	1.0
1.54	1.24	1.0
-0.42100000000000004	-0.731	-1.0
1.1	0.253	-1.0
0.7340000000000001	-0.212	1.0
-2.12	-0.575	1.0
-0.0531	-1.26	-1.0
0.835	-0.0137	-1.0
1.1	0.604	-1.0
-0.505	1.17	-1.0
-0.524	-0.857	-1.0
-1.89	-0.799	1.0
-0.975	-0.182	1.0
0.616	-1.07	1.0
-0.36200000000000004	-1.7	-1.0
0.611	0.649	-1.0
-1.41	-1.02	1.0
-0.614	-1.43	-1.0
-0.28600000000000003	-0.5710000000000001	1.0
-0.6970000000000001	-1.69	-1.0
-0.8590000000000001	0.885	-1.0
0.526	1.36	1.0
-0.251	0.846	1.0
2.01	-0.695	-1.0
-1.51	-0.593	1.0
-0.155	-1.03	-1.0
-1.8	0.529	-1.0
-0.162	-0.0223	1.0
-0.628	-0.267	1.0
-0.746	-0.93	-1.0
-0.61	0.008879999999999999	1.0
-0.0339	-1.66	-1.0
0.935	0.556	-1.0
1.01	0.8290000000000001	-1.0
-2.77	0.0962	-1.0
1.26	0.0903	-1.0
-0.638	-1.01	-1.0
0.552	0.961	-1.0
-0.239	-0.848	-1.0
0.275	-0.20199999999999999	1.0
-1.83	0.601	-1.0
-0.507	1.24	-1.0
0.9079999999999999	-0.506	1.0
1.16	0.703	-1.0
-0.7509999999999999	-1.37	-1.0
-0.628	0.601	1.0
-0.5	-0.0595	1.0
-0.889	-0.884	-1.0
-0.341	0.16899999999999998	1.0
0.0554	-0.139	1.0
-0.455	-1.3	-1.0
-0.11599999999999999	0.0815	1.0
-0.71	-0.8740000000000001	1.0
1.35	-0.25	-1.0
1.51	1.59	1.0
1.67	-0.978	-1.0
-0.11599999999999999	-1.36	-1.0
-1.95	-0.16	1.0
1.75	-1.03	-1.0
2.36	1.5	1.0
1.24	0.828	-1.0
-0.526	1.19	-1.0
-0.0866	-1.37	-1.0
-1.46	-0.8909999999999999	1.0
0.637	0.00536	1.0
0.384	-0.314	1.0
0.431	0.266	-1.0
1.35	0.644	-1.0
-0.7440000000000001	0.196	1.0
-0.45	-1.59	-1.0
1.31	1.07	-1.0
-0.696	-1.2	-1.0
0.5529999999999999	-0.8170000000000001	1.0
-0.532	-0.179	1.0
-0.861	-0.862	-1.0
-1.25	-0.897	1.0
-0.631	-0.914	-1.0
0.524	-0.648	1.0
0.7909999999999999	1.69	1.0
-0.501	1.1	-1.0
0.768	-0.917	1.0
1.29	1.07	-1.0
1.24	0.00235	-1.0
0.8109999999999999	2.0	-1.0
1.18	1.25	1.0
0.32	-0.465	1.0
-1.27	-0.7040000000000001	1.0
-0.8690000000000001	1.38	-1.0
-0.46799999999999997	0.245	1.0
1.44	-1.52	1.0
-1.62	-1.16	1.0
1.89	1.1	1.0
0.284	2.31	-1.0
0.0066	-0.9940000000000001	-1.0
-1.81	-0.643	1.0
-1.19	-1.03	-1.0
-0.747	0.46799999999999997	1.0
1.19	-0.966	1.0
0.748	1.81	1.0
0.225	1.34	-1.0
0.899	0.5379999999999999	-1.0
0.904	0.195	-1.0
-1.25	0.479	-1.0
0.74	1.35	1.0
-0.7979999999999999	-1.21	-1.0
0.371	-0.589	1.0
1.11	0.0482	-1.0
-0.27	-1.28	-1.0
-0.369	-0.9840000000000001	-1.0
-0.752	-0.319	1.0
-0.5379999999999999	-1.15	-1.0
-0.509	0.912	-1.0
2.51	1.3	1.0
0.13699999999999998	1.69	-1.0
-0.129	1.57	-1.0
-1.55	-0.6629999999999999	1.0
0.818	0.845	-1.0
-0.7170000000000001	-1.03	-1.0
0.0188	0.0512	1.0
-0.71	0.465	1.0
-1.43	-1.18	1.0
-1.39	-0.282	1.0
0.753	1.84	-1.0
0.598	0.484	-1.0
0.0256	0.228	1.0
1.02	0.508	-1.0
-1.32	1.12	-1.0
-1.7	0.42200000000000004	-1.0
-0.037000000000000005	-1.35	-1.0
-1.01	-0.21100000000000002	1.0
-1.25	-1.1	-1.0
1.5	0.637	-1.0
-1.02	0.899	1.0
-0.8270000000000001	-0.757	-1.0
1.54	-0.26	-1.0
-0.0979	-1.01	-1.0
-1.01	-1.29	-1.0
-0.7070000000000001	-0.37799999999999995	1.0
-0.878	-1.16	-1.0
-1.34	0.7170000000000001	-1.0
2.21	1.21	1.0
0.25	0.466	1.0
2.34	1.13	1.0
0.614	-0.157	1.0
2.03	-0.42700000000000005	-1.0
-0.568	-1.36	-1.0
-1.64	-1.27	1.0
0.779	-0.815	1.0
-0.7070000000000001	-0.568	1.0
-0.7120000000000001	-1.1	-1.0
1.62	0.0564	-1.0
-1.01	0.41200000000000003	1.0
1.61	1.4	1.0
-1.26	-0.503	1.0
-0.845	-0.377	1.0
1.31	-0.5660000000000001	1.0
-0.218	2.09	-1.0
-0.68	-1.07	-1.0
1.15	-1.56	1.0
0.55	0.857	-1.0
-0.43	-1.4	-1.0
0.40299999999999997	-0.997	-1.0
-0.0017	0.282	1.0
-0.617	-0.45799999999999996	1.0
0.14300000000000002	-1.56	-1.0
-0.221	0.12	1.0
0.58	1.17	-1.0
0.8759999999999999	-0.9690000000000001	1.0
-0.0237	0.303	1.0
0.0052	0.24	1.0
0.904	0.97	-1.0
-0.8059999999999999	0.575	1.0
0.423	-0.33399999999999996	1.0
1.08	1.36	1.0
-0.639	1.25	-1.0
-0.0782	-1.1	-1.0
0.595	0.429	-1.0
0.9079999999999999	1.48	1.0
0.355	0.562	1.0
0.149	-0.295	1.0
-1.94	-0.273	1.0
0.222	0.214	1.0
-1.44	-0.43	1.0
0.265	-0.375	1.0
-0.295	0.565	1.0
-1.55	-1.02	1.0
-0.93	-0.895	-1.0
-1.18	0.42200000000000004	1.0
-0.203	-1.08	-1.0
1.26	-0.32799999999999996	1.0
1.48	-1.05	1.0
-0.499	-0.7659999999999999	-1.0
0.12	-1.12	-1.0
-0.33799999999999997	-0.91	-1.0
0.909	0.522	-1.0
0.395	0.0856	-1.0
-0.7	-1.25	-1.0
0.0828	-0.879	1.0
-0.8320000000000001	-1.33	-1.0
-2.01	-1.85	1.0
-1.55	0.695	-1.0
-0.755	-1.09	-1.0
-0.83	0.993	-1.0
0.314	1.54	-1.0
-1.44	-0.225	1.0
0.287	1.45	1.0
-0.278	-0.815	1.0
1.46	-0.509	1.0
0.496	1.52	-1.0
1.81	-0.218	-1.0
0.8240000000000001	0.45	-1.0
-2.56	-0.0784	-1.0
-0.836	-0.507	1.0
0.066	-1.23	-1.0
-0.742	0.36	1.0
1.31	0.32799999999999996	-1.0
1.35	1.21	1.0
0.34	-1.03	-1.0
-1.07	-0.616	1.0
-0.634	1.65	-1.0
1.95	-1.02	-1.0
-0.0397	-1.09	-1.0
1.04	-1.13	1.0
-1.15	0.7290000000000001	-1.0
-0.528	0.953	1.0
0.8540000000000001	1.15	-1.0
-1.04	1.04	-1.0
-0.9209999999999999	-1.19	-1.0
-1.78	-1.58	1.0
-0.0184	-1.13	-1.0
-1.55	0.386	-1.0
-0.539	-1.21	-1.0
-0.455	0.494	1.0
1.44	1.38	1.0
-1.2	0.659	-1.0
0.731	1.31	-1.0
-1.39	-1.09	1.0
-0.413	0.0554	1.0
0.271	0.38	1.0
-0.882	1.29	-1.0
1.29	-1.04	1.0
0.299	1.49	-1.0
-0.754	1.1	-1.0
-0.0601	2.04	1.0
1.42	-0.6970000000000001	1.0
1.12	0.17300000000000001	-1.0
-0.7829999999999999	-1.33	-1.0
-1.55	-1.6	1.0
-1.34	0.146	1.0
-1.1	-1.17	-1.0
0.10099999999999999	-1.39	-1.0
-0.484	-1.2	-1.0
-0.9840000000000001	1.03	-1.0
-0.26899999999999996	0.961	1.0
-0.547	1.71	-1.0
0.494	-1.01	-1.0
-0.12300000000000001	1.86	-1.0
-0.0853	-1.12	-1.0
1.41	0.607	-1.0
1.27	-0.159	-1.0
-0.0373	-1.32	-1.0
0.433	1.65	1.0
-1.03	-0.858	1.0
0.69	0.745	-1.0
0.354	1.06	-1.0
-1.92	-1.06	1.0
-0.541	-0.65	1.0
1.38	-1.36	1.0
1.29	0.525	-1.0
-0.836	0.9590000000000001	-1.0
-0.247	0.775	1.0
0.552	0.9420000000000001	-1.0
-0.19	0.168	1.0
0.7140000000000001	-1.19	1.0
1.19	0.594	-1.0
0.428	-1.43	-1.0
-0.575	-1.62	-1.0
-1.97	-1.72	1.0
-0.0255	-1.3	-1.0
-0.892	1.02	-1.0
-0.132	-1.35	-1.0
-1.85	0.545	-1.0
-0.491	-0.429	1.0
-0.158	0.358	1.0
-0.475	-1.02	-1.0
1.26	-2.39	1.0
-0.807	0.992	-1.0
1.19	0.115	-1.0
0.439	1.5	-1.0
1.44	-1.73	1.0
0.109	1.65	1.0
-0.596	-1.33	-1.0
1.11	0.431	-1.0
-0.34700000000000003	-0.556	1.0
1.47	1.39	1.0
1.63	-0.56	-1.0
-1.53	1.21	-1.0
-1.12	1.1	-1.0
0.0551	1.34	-1.0
-0.38799999999999996	-1.08	-1.0
0.136	-1.36	-1.0
-0.79	-0.823	-1.0
0.6459999999999999	1.82	1.0
-0.46799999999999997	-0.20600000000000002	1.0
0.735	0.5710000000000001	-1.0
-0.777	-1.33	-1.0
-0.31	1.45	-1.0
-0.0693	-1.3	-1.0
-0.162	-0.33399999999999996	1.0
0.7240000000000001	-0.574	1.0
-1.03	0.153	1.0
0.385	-0.7440000000000001	-1.0
1.23	-0.115	-1.0
-1.49	0.7959999999999999	-1.0
0.0586	-0.133	1.0
1.05	-0.36200000000000004	1.0
-0.84	-1.05	-1.0
0.35100000000000003	-1.42	-1.0
-1.34	-0.462	1.0
-0.213	0.77	1.0
0.523	1.05	-1.0
-0.665	1.23	-1.0
1.03	1.55	1.0
0.495	1.54	-1.0
0.5820000000000001	0.23199999999999998	-1.0
0.35	0.889	-1.0
0.321	1.58	-1.0
0.155	0.0373	1.0
-0.7829999999999999	0.9309999999999999	-1.0
0.153	-0.875	1.0
1.08	0.925	-1.0
0.614	0.9079999999999999	-1.0
-0.353	1.98	1.0
0.0762	-1.27	-1.0
0.282	-1.43	-1.0
0.8759999999999999	-0.807	1.0
-0.685	0.45899999999999996	1.0
0.265	1.4	-1.0
0.29	0.591	-1.0
0.662	1.49	-1.0
-0.6890000000000001	-1.45	-1.0
-0.214	-1.27	-1.0
-0.11900000000000001	-0.8420000000000001	-1.0
-1.84	-1.23	1.0
-0.102	-0.306	1.0
-0.995	-0.937	-1.0
-0.479	0.0719	1.0
-1.31	0.46299999999999997	-1.0
-0.486	-1.62	-1.0
0.115	-0.44299999999999995	1.0
0.698	0.784	-1.0
1.09	-1.24	1.0
-1.57	-0.401	1.0
-0.27399999999999997	0.489	1.0
0.764	1.98	1.0
2.41	0.946	1.0
-0.348	0.11900000000000001	1.0
1.27	-0.19399999999999998	-1.0
-0.22	-1.38	-1.0
1.08	-1.83	1.0
-0.414	-1.28	-1.0
2.12	1.07	1.0
0.22	2.08	-1.0
0.207	-1.38	-1.0
-0.519	-1.0	-1.0
-0.00634	-1.0	-1.0
-0.68	1.68	-1.0
-1.18	-0.522	1.0
0.32	0.282	1.0
-0.638	1.32	-1.0
0.72	-0.154	1.0
0.92	-0.7170000000000001	1.0
0.511	-0.773	1.0
-0.6809999999999999	-0.586	1.0
1.11	0.205	-1.0
0.087	-1.28	-1.0
1.13	-0.541	1.0
-0.016	-1.26	-1.0
-0.439	-0.884	1.0
0.424	-0.84	-1.0
2.25	-1.4	-1.0
0.139	-0.8029999999999999	1.0
0.488	1.31	-1.0
-1.04	1.27	-1.0
1.33	-0.7040000000000001	-1.0
-1.23	0.89	-1.0
-0.32899999999999996	-0.955	-1.0
0.174	-1.11	-1.0
-0.6990000000000001	0.755	-1.0
-0.13699999999999998	-1.16	-1.0
1.09	-1.1	1.0
-0.0172	-1.03	-1.0
0.26899999999999996	0.605	1.0
0.305	1.63	1.0
-1.82	0.904	-1.0
-0.527	-1.38	-1.0
0.557	-0.255	1.0
-2.41	0.26	-1.0
-0.514	-1.07	-1.0
-0.325	-1.32	-1.0
2.53	1.5	1.0
0.47100000000000003	2.03	-1.0
0.986	0.843	-1.0
0.746	0.441	-1.0
-1.32	0.907	-1.0
1.33	1.7	1.0
1.59	-0.37799999999999995	-1.0
0.387	-0.000653	1.0
-0.914	-0.919	-1.0
1.41	0.0907	-1.0
-0.639	0.522	1.0
0.866	1.14	-1.0
-1.78	-0.491	1.0
0.391	-0.0901	1.0
-1.27	0.184	1.0
-1.08	-0.612	1.0
-0.7170000000000001	0.455	1.0
-1.11	0.00172	1.0
-1.51	-0.966	1.0
-0.862	1.53	-1.0
0.605	1.86	1.0
-0.818	0.654	1.0
-0.391	1.1	-1.0
0.941	-0.254	1.0
1.59	1.72	1.0
-1.51	-1.16	1.0
0.413	0.473	1.0
-0.35100000000000003	-1.0	-1.0
1.68	0.113	-1.0
-0.8340000000000001	1.48	-1.0
1.45	-0.507	-1.0
-0.5589999999999999	0.0594	1.0
1.23	-0.0997	-1.0
-0.0342	0.145	1.0
-0.8340000000000001	1.41	-1.0
0.743	-1.01	1.0
1.01	1.82	1.0
0.191	-1.29	-1.0
0.0543	-0.9670000000000001	-1.0
0.768	-1.25	1.0
1.12	0.612	-1.0
0.424	0.547	1.0
1.29	-0.391	-1.0
-0.612	-1.42	-1.0
-0.201	0.287	1.0
-0.779	1.09	-1.0
0.44	0.24600000000000002	1.0
0.778	0.9520000000000001	-1.0
0.0179	-1.01	-1.0
-0.21600000000000003	-1.38	-1.0
-0.5539999999999999	-0.38	1.0
0.0698	-1.25	-1.0
-0.8690000000000001	0.625	-1.0
-1.53	-1.17	1.0
-0.175	-0.909	-1.0
-1.5	-1.14	1.0
0.528	-1.04	1.0
1.07	0.61	-1.0
-0.987	-0.735	1.0
-0.46799999999999997	-1.17	-1.0
1.77	0.239	-1.0
0.885	-0.37200000000000005	1.0
2.59	-1.15	-1.0
1.04	0.285	-1.0
0.736	1.64	-1.0
1.23	0.45799999999999996	-1.0
-0.13699999999999998	-1.39	-1.0
-0.0574	-0.20800000000000002	1.0
-0.496	1.03	-1.0
-1.04	0.9840000000000001	-1.0
0.9520000000000001	-1.9	1.0
-0.21	0.11	1.0
-1.95	0.614	-1.0
1.68	-0.47200000000000003	-1.0
-0.866	0.7509999999999999	-1.0
0.322	-1.04	-1.0
-1.71	-0.653	1.0
-0.486	-1.53	-1.0
0.5870000000000001	-0.311	1.0
-0.55	0.23600000000000002	1.0
1.4	-0.8740000000000001	1.0
-0.384	-1.08	-1.0
0.746	0.991	-1.0
0.758	-1.45	-1.0
-0.0468	-0.332	1.0
0.698	1.02	-1.0
-1.53	0.6579999999999999	-1.0
-0.162	-1.24	-1.0
-0.507	0.69	1.0
1.41	-1.38	1.0
-0.735	-1.19	-1.0
-0.141	-0.11900000000000001	1.0
1.31	0.628	-1.0
1.38	-1.02	1.0
1.18	-1.19	1.0
-0.0785	-1.16	-1.0
0.8440000000000001	1.22	-1.0
0.9129999999999999	-1.6	1.0
-1.04	1.33	-1.0
-1.1	0.145	1.0
-0.244	-1.2	-1.0
0.0643	-1.28	-1.0
0.483	-1.23	-1.0
1.37	1.29	1.0
-0.8690000000000001	0.634	-1.0
-0.0547	-1.06	-1.0
0.816	-0.133	1.0
-1.49	0.7440000000000001	-1.0
-0.813	-0.665	1.0
1.6	0.0487	-1.0
0.742	1.56	1.0
1.45	-0.188	-1.0
-0.7909999999999999	-1.44	-1.0
-1.31	0.11800000000000001	1.0
0.0336	0.32299999999999995	1.0
0.308	-1.34	-1.0
0.856	-1.11	1.0
0.532	-0.0431	1.0
-0.171	1.68	1.0
-0.305	0.247	1.0
-0.42200000000000004	-0.24100000000000002	1.0
0.836	0.8490000000000001	-1.0
1.77	0.013000000000000001	-1.0
-1.56	0.514	-1.0
0.13699999999999998	-0.862	-1.0
-1.07	-0.017	1.0
-1.31	-0.32	1.0
-1.33	-0.581	1.0
-1.76	-1.58	1.0
-0.258	-1.06	-1.0
-0.253	-0.809	-1.0
0.395	1.35	1.0
-1.39	-0.156	1.0
0.446	-1.07	-1.0
1.52	0.795	-1.0
1.44	0.898	-1.0
1.04	0.9520000000000001	-1.0
-1.82	-0.847	1.0
-1.11	0.276	1.0
-1.2	-1.19	-1.0
0.268	1.14	-1.0
1.29	-1.19	1.0
-0.935	1.02	-1.0
0.247	-0.96	-1.0
0.387	1.59	1.0
0.247	0.41	1.0
0.722	0.153	-1.0
0.249	-0.451	1.0
0.9229999999999999	0.166	1.0
-0.237	-0.0378	1.0
1.27	0.496	-1.0
-1.2	1.43	-1.0
-1.19	-0.9390000000000001	-1.0
0.0209	-0.973	-1.0
0.637	0.9840000000000001	-1.0
0.7140000000000001	-1.08	1.0
-0.215	0.5489999999999999	1.0
0.306	-0.161	1.0
0.205	-1.28	-1.0
1.51	1.52	1.0
-0.7609999999999999	0.373	1.0
-0.706	-0.6970000000000001	-1.0
-0.38299999999999995	0.6709999999999999	1.0
-1.11	-0.44	1.0
0.496	-0.614	1.0
-0.0529	-0.0168	1.0
2.09	1.1	1.0
-1.28	-1.17	1.0
1.44	0.0946	-1.0
2.06	-0.893	-1.0
-0.638	-0.752	-1.0
0.402	-0.39	1.0
0.122	0.599	1.0
1.42	1.49	1.0
-1.55	0.588	-1.0
0.8540000000000001	0.0949	1.0
-0.268	0.75	1.0
-0.57	0.502	1.0
-0.381	-0.9590000000000001	-1.0
0.23600000000000002	0.44299999999999995	1.0
0.898	-0.7190000000000001	1.0
-0.43200000000000005	1.13	-1.0
1.14	-0.938	1.0
0.0935	2.1	-1.0
0.46299999999999997	0.935	-1.0
-0.23	-1.02	-1.0
0.6709999999999999	0.18100000000000002	1.0
0.168	1.7	-1.0
-0.175	0.0644	1.0
0.7959999999999999	0.423	1.0
-0.8240000000000001	-0.47100000000000003	1.0
-0.93	-0.502	1.0
-1.06	1.49	-1.0
0.375	1.27	-1.0
2.45	1.25	1.0
-2.04	0.401	-1.0
0.0735	-1.01	-1.0
-0.737	-0.0677	1.0
0.848	0.402	-1.0
0.281	0.34299999999999997	1.0
-1.13	-0.0974	1.0
-0.821	-1.44	-1.0
-0.21100000000000002	-0.33399999999999996	1.0
-0.364	-1.4	-1.0
-1.27	-0.6729999999999999	1.0
0.784	1.39	-1.0
-1.02	0.883	-1.0
0.833	-0.0565	1.0
0.478	1.31	1.0
-1.14	-0.245	1.0
1.14	0.494	-1.0
0.667	-1.01	1.0
2.17	0.9259999999999999	1.0
-0.129	0.877	1.0
-0.581	0.5820000000000001	1.0
0.42700000000000005	1.77	1.0
-0.138	0.425	1.0
-1.98	0.875	-1.0
-0.337	0.5589999999999999	1.0
-0.369	-0.965	-1.0
0.325	-0.153	1.0
-0.23199999999999998	-0.364	1.0
